Star_name,Distance,Mass,Radius,Gravity
Miaplacidus,0110,6.9615e+30,4730760000.0,20.747550448422462
Alnilam,"2,000",6.3648e+31,29219400000.0,4.972422327101028
Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.52619519536104
Alnair,0101,7.956e+30,2365380000.0,94.84594490707411
Alioth,0081,5.7681e+30,2921940000.0,45.06257733935306
Alnitak,01050,6.5637e+31,13914000000.0,22.613644414469142
Dubhe,0120,8.453249999999999e+30,20871000000.0,1.2943836870234862
Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5038690823188311
Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.11649453183211377
Sargas,0270,1.13373e+31,18088200000.0,2.311238536174899
Kaus Australis,0140,6.9615e+30,4730760000.0,20.747550448422462
Avior,0630,1.7900999999999998e+31,90441000000.0,0.1459729601794673
Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.640065983288
Menkalinan,081,4.75371e+30,1927089000.0,85.37976854483333
Atria,0390,1.3923e+31,64004400000.0,0.22669346236650628
Alhena,0109,5.5692e+30,2295810000.0,70.4768949667625
Peacock,0180,1.17351e+31,3339360000.0,70.19176243969274
Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.22252959280213
Mirzam,0500,2.68515e+31,6957000000.0,37.00414540549496
Polaris,0430,1.07406e+31,27132300000.0,0.9731530678631156
Alphard,0180,5.967e+30,34785000000.0,0.328925736937733
Mintaka,01200,4.7736e+31,11479050000.0,24.163506845747143
Scheat,0196,4.1769e+30,66091500000.0,0.06378061381064075
Almaaz,0653,2.9835e+31,97398000000.0,0.20977406692457462
Rasalgethi,0360,5.5692e+30,194796000000.0,0.009789456456480147
Tau Ceti,011.9,1.557387e+30,621260100.0,269.1382688446168
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.50325030530178
Ran,010.48,1.6309799999999997e+30,514818000.0,410.45639196636995
V382 Carinae,"08,900",3.978e+31,337414500000.0,0.02330575243119942
Delta Cephei,0887,4.5,44.5,1.5157177124100493e-13
Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.005570386237493149
Titawin,044.25,2.52603e+30,1029636000.0,158.9267127430762
P Cygni,"05,545",30,76,3.4643351800554016e-13
61 Cygni,011.41,0.7,0.665,1.0557973882073604e-10
Polaris Australis,0281,1.59,3.74,7.58192970917098e-12
R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,0.0322476212684052
54 Piscium,036.1,1.51164e+30,653958000.0,235.76237369159978
Mira,0300,2.3867999999999998e+30,257409000000.0,0.0024026715627299706
Lacaille 8760,012.87,0.6,0.51,1.538638985005767e-10
II Pegasi,0130,1.5912e+30,2365380000.0,18.96918898141482
Pistol Star,"025,000",100,320,6.513671875e-14
S Doradus,"0169,000",4.7736e+31,264366000000.0,0.045557581293314824
Barnard's Star,05.98,0.14,0.20,2.3344999999999995e-10
Proxima Centauri,04.25,0.12,0.15,3.5573333333333337e-10
KIC 8462852,"01,470",2.84427e+30,1099206000.0,157.01403481712273
R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,77.62733049474492
Melnick 42,"0163,000",3.75921e+32,14679270000.000002,116.36262340848796
WR 102,"018,134",3.7791e+31,271323000.0,34240.5709062948
VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,75.24823324055542
YBP 1194,"02,772",2.00889e+30,688743000.0,282.46692030329416
Gliese 1214,047.5,3.1824e+29,146097000.0,994.4844654202057
VB 10,018.72,0.075,0.10,5.002499999999999e-10
TRAPPIST-1,039.6,0.089,0.12,4.1224305555555557e-10
2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,2594.2853778665626
